ID,Peso,Fecha,Hora,Tecnico
N46,5.41,18/12/2025,10:20:00,JULIO
N50,5.41,11/12/2025,08:20:00,JULIO
N51,5.32,9/12/2025,12:00:00,JULIO
N52,5.42,12/12/2025,08:35:00,JULIO
N53,5.6,11/12/2025,12:50:00,JULIO
N54,5.46,17/12/2025,10:00:00,JULIO
N55,5.85,11/12/2025,12:50:00,JULIO
N56,5.5,17/12/2025,10:00:00,JULIO
N57,5.7,12/12/2025,08:35:00,JULIO
N58,5.34,11/12/2025,08:20:00,JULIO
N59,5.43,10/12/2025,10:50:00,JULIO
N60,5.74,11/12/2025,12:50:00,JULIO
N61,5.82,11/12/2025,12:50:00,JULIO
N62,5.51,10/12/2025,10:50:00,JULIO
N64,5.31,11/12/2025,14:20:00,JULIO
N72,5.4,11/12/2025,14:20:00,JULIO
E8,5.15,18/12/2025,10:20:00,JULIO
B2,5.41,11/12/2025,08:20:00,JULIO
B3,5.49,17/12/2025,10:00:00,JULIO
B5,5.4,11/12/2025,14:20:00,JULIO
B8,5.4,12/12/2025,08:35:00,JULIO
B9,5.37,11/12/2025,08:20:00,JULIO
B10,5.38,12/12/2025,08:35:00,JULIO
B11,5.39,12/12/2025,08:35:00,JULIO
B12,5.5,17/12/2025,10:00:00,JULIO
